
description,category
"for i in range(10):\n    print(i)\n\n# This Python code prints numbers from 0 to 9.",Python
"int main() {\n    printf(""Hello, World!"");\n    return 0;\n}\n\n// This is a C program that prints 'Hello, World!'",C
"puts 'Hello, Ruby!'\n\n# This Ruby code prints 'Hello, Ruby!'",Ruby
"public static void main(String[] args) {\n    System.out.println(""Hello, Java!"");\n}\n\n// Java program to print 'Hello, Java!'",Java
"console.log(""Hello, JavaScript!"");\n\n// JavaScript code to print 'Hello, JavaScript!'",JavaScript
"echo 'Hello, PHP!';\n\n// PHP code to echo 'Hello, PHP!'",PHP
"SELECT * FROM users;\n\n-- SQL query to select all records from 'users' table",SQL
"var message = 'Hello, TypeScript!';\nconsole.log(message);\n\n// TypeScript code to print 'Hello, TypeScript!'",TypeScript
"func sayHello() {\n    print(""Hello, Swift!"")\n}\n\n// Swift code to print 'Hello, Swift!'",Swift
"<html>\n  <body>\n    <h1>Hello, HTML!</h1>\n  </body>\n</html>\n\n<!-- HTML code to display 'Hello, HTML!' -->",HTML
"puts 'Hello, Kotlin!'\n\n# This Kotlin code prints 'Hello, Kotlin!'",Kotlin
"import 'dart:io';\nvoid main() {\n    print('Hello, Dart!');\n}\n\n// Dart code to print 'Hello, Dart!'",Dart
"// This is a comment in C++\n#include <iostream>\nusing namespace std;\nint main() {\n    cout << 'Hello, C++!' << endl;\n    return 0;\n}\n\n// C++ code to print 'Hello, C++!'",C++
"body {\n    font-family: Arial, sans-serif;\n    font-size: 16px;\n}\n\n/* CSS code for setting font and size */",CSS
"import pandas as pd\n\n# This Python code imports pandas library\nprint('Hello, Pandas!')",Python
"public class Hello {\n    public static void main(String[] args) {\n        System.out.println(""Hello, Java!"");\n    }\n}\n\n// Java program to print 'Hello, Java!'",Java
"console.log(""Hello, Node.js!"");\n\n// JavaScript code to print 'Hello, Node.js!'",JavaScript
"echo 'Hello, World!';\n\n# This PHP code echoes 'Hello, World!'",PHP
"SELECT name, age FROM users;\n\n-- SQL query to select 'name' and 'age' from 'users' table",SQL
"var message = 'Hello, React Native!';\nconsole.log(message);\n\n// TypeScript code to print 'Hello, React Native!'",TypeScript
"func sayHello() {\n    print(""Hello, SwiftUI!"")\n}\n\n// Swift code to print 'Hello, SwiftUI!'",Swift
"<html>\n  <body>\n    <h1>Hello, Web Development!</h1>\n  </body>\n</html>\n\n<!-- HTML code for a web development greeting -->",HTML
"puts 'Hello, Android!'\n\n# This Kotlin code prints 'Hello, Android!'",Kotlin
"import 'dart:io';\nvoid main() {\n    print('Hello, Flutter!');\n}\n\n// Dart code to print 'Hello, Flutter!'",Dart
"// This is a comment in C++\n#include <iostream>\nusing namespace std;\nint main() {\n    cout << 'Hello, World!' << endl;\n    return 0;\n}\n\n// C++ code to print 'Hello, World!'",C++
"body {\n    background-color: #3498db;\n    color: white;\n}\n\n/* CSS code for styling the body */",CSS
"import pandas as pd\n\n# This Python code imports pandas library\nprint('Hello, Data Analysis!')",Python
"public class Calculator {\n    public static void main(String[] args) {\n        int a = 5, b = 3;\n        System.out.println(""Sum: "" + (a + b));\n    }\n}\n\n// Java program to calculate the sum of two numbers",Java
"console.log(""Hello, React!"");\n\n// JavaScript code to print 'Hello, React!'",JavaScript
"echo 'Hello, Database!';\n\n# This PHP code echoes 'Hello, Database!'",PHP
"SELECT product_name, price FROM products;\n\n-- SQL query to select 'product_name' and 'price' from 'products' table",SQL
"var message = 'Hello, Vue.js!';\nconsole.log(message);\n\n// TypeScript code to print 'Hello, Vue.js!'",TypeScript
"func sayHello() {\n    print(""Hello, Xcode!"")\n}\n\n// Swift code to print 'Hello, Xcode!'",Swift
"<html>\n  <body>\n    <h1>Hello, CSS Styling!</h1>\n  </body>\n</html>\n\n<!-- HTML code for styling with CSS -->",HTML
"puts 'Hello, Raspberry Pi!'\n\n# This Ruby code prints 'Hello, Raspberry Pi!'",Ruby
"import 'dart:io';\nvoid main() {\n    print('Hello, IoT!');\n}\n\n// Dart code to print 'Hello, IoT!'",Dart
"// This is a comment in C++\n#include <iostream>\nusing namespace std;\nint main() {\n    cout << 'Hello, C++ Programming!' << endl;\n    return 0;\n}\n\n// C++ code to print 'Hello, C++ Programming!'",C++
"body {\n    margin: 0;\n    padding: 0;\n}\n\n/* CSS code for resetting margins and paddings */",CSS
"import pandas as pd\n\n# This Python code imports pandas library\nprint('Hello, Data Science!')",Python
"public class Rectangle {\n    int length, width;\n    public int calculateArea() {\n        return length * width;\n    }\n}\n\n// Java class to calculate the area of a rectangle",Java
"console.log(""Hello, Express.js!"");\n\n// JavaScript code to print 'Hello, Express.js!'",JavaScript
"echo 'Hello, Laravel!';\n\n# This PHP code echoes 'Hello, Laravel!'",PHP
"SELECT city, population FROM cities;\n\n-- SQL query to select 'city' and 'population' from 'cities' table",SQL
"var message = 'Hello, Angular!';\nconsole.log(message);\n\n// TypeScript code to print 'Hello, Angular!'",TypeScript
"func sayHello() {\n    print(""Hello, watchOS!"")\n}\n\n// Swift code to print 'Hello, watchOS!'",Swift
"<html>\n  <body>\n    <h1>Hello, Responsive Design!</h1>\n  </body>\n</html>\n\n<!-- HTML code for responsive web design -->",HTML
"puts 'Hello, Robotics!'\n\n# This Ruby code prints 'Hello, Robotics!'",Ruby
"import 'dart:io';\nvoid main() {\n    print('Hello, Robotics World!');\n}\n\n// Dart code to print 'Hello, Robotics World!'",Dart
"// This is a comment in C++\n#include <iostream>\nusing namespace std;\nint main() {\n    cout << 'Hello, Robotics Programming!' << endl;\n    return 0;\n}\n\n// C++ code to print 'Hello, Robotics Programming!'",C++
"body {\n    border: 1px solid #ddd;\n}\n\n/* CSS code for adding a border to elements */",CSS
"import pandas as pd\n\n# This Python code imports pandas library\nprint('Hello, Machine Learning!')",Python
"public class Circle {\n    double radius;\n    public double calculateArea() {\n        return Math.PI * radius * radius;\n    }\n}\n\n// Java class to calculate the area of a circle",Java
"console.log(""Hello, Redux!"");\n\n// JavaScript code to print 'Hello, Redux!'",JavaScript
"echo 'Hello, Symfony!';\n\n# This PHP code echoes 'Hello, Symfony!'",PHP
"SELECT book_title, author FROM books;\n\n-- SQL query to select 'book_title' and 'author' from 'books' table",SQL
"var message = 'Hello, RxJS!';\nconsole.log(message);\n\n// TypeScript code to print 'Hello, RxJS!'",TypeScript
"func sayHello() {\n    print(""Hello, ARKit!"")\n}\n\n// Swift code to print 'Hello, ARKit!'",Swift
"<html>\n  <body>\n    <h1>Hello, Flexbox Layout!</h1>\n  </body>\n</html>\n\n<!-- HTML code for flexbox layout -->",HTML
"puts 'Hello, Blockchain!'\n\n# This Ruby code prints 'Hello, Blockchain!'",Ruby
"import 'dart:io';\nvoid main() {\n    print('Hello, Blockchain World!');\n}\n\n// Dart code to print 'Hello, Blockchain World!'",Dart
"// This is a comment in C++\n#include <iostream>\nusing namespace std;\nint main() {\n    cout << 'Hello, Blockchain Programming!' << endl;\n    return 0;\n}\n\n// C++ code to print 'Hello, Blockchain Programming!'",C++
"body {\n    text-align: center;\n}\n\n/* CSS code for centering text */",CSS
"import pandas as pd\n\n# This Python code imports pandas library\nprint('Hello, Deep Learning!')",Python
"public class Triangle {\n    double base, height;\n    public double calculateArea() {\n        return 0.5 * base * height;\n    }\n}\n\n// Java class to calculate the area of a triangle",Java
"console.log(""Hello, Vue.js 3!"");\n\n// JavaScript code to print 'Hello, Vue.js 3!'",JavaScript
"echo 'Hello, WordPress!';\n\n# This PHP code echoes 'Hello, WordPress!'",PHP
"SELECT song_title, artist FROM songs;\n\n-- SQL query to select 'song_title' and 'artist' from 'songs' table",SQL
"var message = 'Hello, GraphQL!';\nconsole.log(message);\n\n// TypeScript code to print 'Hello, GraphQL!'",TypeScript
"func sayHello() {\n    print(""Hello, SceneKit!"")\n}\n\n// Swift code to print 'Hello, SceneKit!'",Swift
"<html>\n  <body>\n    <h1>Hello, CSS Grid Layout!</h1>\n  </body>\n</html>\n\n<!-- HTML code for CSS grid layout -->",HTML
"puts 'Hello, Game Development!'\n\n# This Ruby code prints 'Hello, Game Development!'",Ruby
"import 'dart:io';\nvoid main() {\n    print('Hello, Game Dev World!');\n}\n\n// Dart code to print 'Hello, Game Dev World!'",Dart
"// This is a comment in C++\n#include <iostream>\nusing namespace std;\nint main() {\n    cout << 'Hello, Game Dev Programming!' << endl;\n    return 0;\n}\n\n// C++ code to print 'Hello, Game Dev Programming!'",C++
"body {\n    background-image: url('background.jpg');\n}\n\n/* CSS code for setting a background image */",CSS
"import pandas as pd\n\n# This Python code imports pandas library\nprint('Hello, Natural Language Processing!')",Python
"public class Square {\n    double side;\n    public double calculateArea() {\n        return side * side;\n    }\n}\n\n// Java class to calculate the area of a square",Java
"console.log(""Hello, Electron!"");\n\n// JavaScript code to print 'Hello, Electron!'",JavaScript
"echo 'Hello, Joomla!';\n\n# This PHP code echoes 'Hello, Joomla!'",PHP
"SELECT product_name, category FROM products;\n\n-- SQL query to select 'product_name' and 'category' from 'products' table",SQL
"var message = 'Hello, TensorFlow!';\nconsole.log(message);\n\n// TypeScript code to print 'Hello, TensorFlow!'",TypeScript
"func sayHello() {\n    print(""Hello, Metal!"")\n}\n\n// Swift code to print 'Hello, Metal!'",Swift
"<html>\n  <body>\n    <h1>Hello, Web Animation!</h1>\n  </body>\n</html>\n\n<!-- HTML code for web animation -->",HTML
"puts 'Hello, Cybersecurity!'\n\n# This Ruby code prints 'Hello, Cybersecurity!'",Ruby
"import 'dart:io';\nvoid main() {\n    print('Hello, Cybersecurity World!');\n}\n\n// Dart code to print 'Hello, Cybersecurity World!'",Dart
"// This is a comment in C++\n#include <iostream>\nusing namespace std;\nint main() {\n    cout << 'Hello, Cybersecurity Programming!' << endl;\n    return 0;\n}\n\n// C++ code to print 'Hello, Cybersecurity Programming!'",C++
"body {\n    color: #333;\n}\n\n/* CSS code for setting text color */",CSS
"import pandas as pd\n\n# This Python code imports pandas library\nprint('Hello, Artificial Intelligence!')",Python
"public class Employee {\n    String name;\n    int id;\n    public void displayInfo() {\n        System.out.println('Name: ' + name);\n    }\n}\n\n// Java class to display employee information",Java
"console.log(""Hello, Three.js!"");\n\n// JavaScript code to print 'Hello, Three.js!'",JavaScript
"echo 'Hello, Magento!';\n\n# This PHP code echoes 'Hello, Magento!'",PHP
"SELECT movie_title, director FROM movies;\n\n-- SQL query to select 'movie_title' and 'director' from 'movies' table",SQL
"var message = 'Hello, Rust!';\nconsole.log(message);\n\n// TypeScript code to print 'Hello, Rust!'",TypeScript
"func sayHello() {\n    print(""Hello, OpenCV!"")\n}\n\n// Swift code to print 'Hello, OpenCV!'",Swift
"<html>\n  <body>\n    <h1>Hello, CSS Transitions!</h1>\n  </body>\n</html>\n\n<!-- HTML code for CSS transitions -->",HTML
"puts 'Hello, Cloud Computing!'\n\n# This Ruby code prints 'Hello, Cloud Computing!'",Ruby
"import 'dart:io';\nvoid main() {\n    print('Hello, Cloud Computing World!');\n}\n\n// Dart code to print 'Hello, Cloud Computing World!'",Dart
"// This is a comment in C++\n#include <iostream>\nusing namespace std;\nint main() {\n    cout << 'Hello, Cloud Computing Programming!' << endl;\n    return 0;\n}\n\n// C++ code to print 'Hello, Cloud Computing Programming!'",C++
